name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files
mymove,transcom,https://github.com/transcom/mymove/pull/2907,Bump react-select from 2.4.4 to 3.0.8,2907,dependabot/npm_and_yarn/react-select-3.0.8,b0ee5487c6185467d21fea2d1a690e762dbd361d,closed,true,2,3
Apollo_DAE,ijb87,https://github.com/ijb87/Apollo_DAE/pull/67,Bump webpack-dev-server from 2.11.5 to 3.1.11 in /Learn Vue 2/lesson,67,dependabot/npm_and_yarn/Learn-Vue-2/lesson/webpack-dev-server-3.1.11,5e995df82aa926e07c5ac28c2f5fdc5c2724a5c7,closed,true,26,26
AAO-React-Native,StoDevX,https://github.com/StoDevX/AAO-React-Native/pull/4012,Bump react-native-device-info from 2.3.2 to 3.1.1,4012,dependabot/npm_and_yarn/react-native-device-info-3.1.1,5ff7d62f1d58f01059da38c00e3849dd2d2e9bea,closed,true,3,4
music-metadata-browser,Borewit,https://github.com/Borewit/music-metadata-browser/pull/111,Bump music-metadata from 4.9.2 to 5.0.0,111,dependabot/npm_and_yarn/music-metadata-5.0.0,4832ae13972be0bb519d189a2d8a10ad99c154fb,closed,true,2,4
addons-frontend,mozilla,https://github.com/mozilla/addons-frontend/pull/9025,Bump serialize-javascript from 1.9.1 to 2.1.1,9025,dependabot/npm_and_yarn/serialize-javascript-2.1.1,497b9eb95cfd5d90f295215f05004fe4db57a804,closed,true,2,4
flipt,markphelps,https://github.com/markphelps/flipt/pull/80,Bump webpack-bundle-analyzer from 2.13.1 to 3.3.2 in /ui,80,dependabot/npm_and_yarn/ui/webpack-bundle-analyzer-3.3.2,57248c5fdcc93b509fccedf3c64ef3ada9e517a5,closed,true,2,3
piping-ui-web,nwtgck,https://github.com/nwtgck/piping-ui-web/pull/159,Bump file-type from 12.4.2 to 13.0.0,159,dependabot/npm_and_yarn/file-type-13.0.0,113eaaa7738ca314c1b03ef4befc9fe63fa666a9,closed,true,2,3
IsometricSass,MorganCaron,https://github.com/MorganCaron/IsometricSass/pull/44,Bump css-loader from 2.1.1 to 3.0.0,44,dependabot/npm_and_yarn/css-loader-3.0.0,af8dcf25dbd85214f1481212d2237a42f382fecc,closed,true,2,3
forest-express-sequelize,ForestAdmin,https://github.com/ForestAdmin/forest-express-sequelize/pull/238,[Security] Bump sequelize from 4.43.2 to 5.3.0,238,dependabot/npm_and_yarn/sequelize-5.3.0,52bfb26d96d89910354a6086defe5b8f48bf1ff2,closed,true,2,3
OctoDash,UnchartedBull,https://github.com/UnchartedBull/OctoDash/pull/42,Bump ts-node from 7.0.1 to 8.3.0,42,dependabot/npm_and_yarn/ts-node-8.3.0,a091e160412a5d071c07b1b6aac781b58f4a001f,closed,true,3,3
elasticsearch-comrade,moshe,https://github.com/moshe/elasticsearch-comrade/pull/98,Bump date-fns from 1.30.1 to 2.0.0 in /client,98,dependabot/npm_and_yarn/client/date-fns-2.0.0,df51f7bfccc2f7bb1ce0818d995117dbe74d936d,closed,true,3,4
foad.dev,DanFoad,https://github.com/DanFoad/foad.dev/pull/58,Bump react-router-dom from 4.3.1 to 5.0.1,58,dependabot/npm_and_yarn/react-router-dom-5.0.1,4345e4957bd94b3b2264d8edadad7f56c1f898a9,closed,true,2,3
aws-cdk,aws,https://github.com/aws/aws-cdk/pull/5526,chore(deps-dev): bump sinon from 7.5.0 to 8.0.1,5526,dependabot/npm_and_yarn/sinon-8.0.1,c3ac965b5c4cb816e9ecc974b741dc7e29fb86b1,closed,true,2,6
chief,thinktomorrow,https://github.com/thinktomorrow/chief/pull/168,Bump browser-sync-webpack-plugin from 1.2.0 to 2.2.2,168,dependabot/npm_and_yarn/browser-sync-webpack-plugin-2.2.2,b8d6e5b4e76033d2b530ba331010b735b121eddd,closed,true,2,3
marketplace-demo,stelace,https://github.com/stelace/marketplace-demo/pull/14,chore(deps): bump vue-socket.io-extended from 3.2.1 to 4.0.1,14,dependabot/npm_and_yarn/vue-socket.io-extended-4.0.1,b4ebf98583f2b9503a2a0cbba18dea65bd324703,closed,true,2,3
xmpp.js,xmppjs,https://github.com/xmppjs/xmpp.js/pull/654,Bump eslint-plugin-unicorn from 7.0.0 to 8.0.2,654,dependabot/npm_and_yarn/eslint-plugin-unicorn-8.0.2,41b9959c3921029507531f0a277859d14557ae94,closed,true,2,4
common,ilios,https://github.com/ilios/common/pull/728,Bump ember-intl from 3.5.2 to 4.0.0,728,dependabot/npm_and_yarn/ember-intl-4.0.0,afc25988915882718bb13bfdbe215b1a6c1c2dae,closed,true,3,4
qunit-dom,simplabs,https://github.com/simplabs/qunit-dom/pull/349,build(deps-dev): bump documentation from 9.3.1 to 10.1.0,349,dependabot/npm_and_yarn/documentation-10.1.0,34baf6c914937f53633bd08f2abe7d2064c8283c,closed,true,2,3
wire-bots,ffflorian,https://github.com/ffflorian/wire-bots/pull/229,chore(deps): bump @wireapp/bot-api from 3.3.3 to 4.0.2,229,dependabot/npm_and_yarn/@wireapp/bot-api-4.0.2,d2db732fafc749ca52e7fa287fa25179d1171127,closed,true,4,13
react-simple-chatbot,Producement,https://github.com/Producement/react-simple-chatbot/pull/21,Bump deep-equal from 1.1.1 to 2.0.1,21,dependabot/npm_and_yarn/deep-equal-2.0.1,b8c1c27ef26f6119fef24086a3e7752420e42879,closed,true,2,4
Apollo_DAE,ijb87,https://github.com/ijb87/Apollo_DAE/pull/66,Bump webpack-dev-server from 2.11.5 to 3.1.11 in /Learn Vue 2/my-app,66,dependabot/npm_and_yarn/Learn-Vue-2/my-app/webpack-dev-server-3.1.11,5e995df82aa926e07c5ac28c2f5fdc5c2724a5c7,closed,true,26,26
storybook,storybookjs,https://github.com/storybookjs/storybook/pull/7428,Bump eventemitter3 from 3.1.2 to 4.0.0,7428,dependabot/npm_and_yarn/eventemitter3-4.0.0,796137d068c0a1365d9c9611cd00f9556a076c2f,closed,true,2,5
flask-bones,cburmeister,https://github.com/cburmeister/flask-bones/pull/63,Bump bootbox from 4.4.0 to 5.1.3,63,dependabot/npm_and_yarn/bootbox-5.1.3,033cb45cf9a45e4d833f14857ed1a74dc704256c,closed,true,3,4
gatsby-starter-mate,EmaSuriano,https://github.com/EmaSuriano/gatsby-starter-mate/pull/91,Bump @tippy.js/react from 2.2.3 to 3.1.1,91,dependabot/npm_and_yarn/tippy.js/react-3.1.1,a216e3b1d0ded8e44e4cc38eec8b1001f0477b48,closed,true,3,3
contentful-tools,insidelabs,https://github.com/insidelabs/contentful-tools/pull/11,Bump rimraf from 2.6.3 to 3.0.0,11,dependabot/npm_and_yarn/rimraf-3.0.0,78b3fe6d05ac408bb3bb206d86d6c23ac7d224ba,closed,true,17,3
warehouse,hexojs,https://github.com/hexojs/warehouse/pull/73,chore(deps-dev): bump mocha from 6.2.2 to 7.0.0,73,dependabot/npm_and_yarn/mocha-7.0.0,62bd5e89daf0379785bc70dea6f6871f0d188a10,closed,true,3,3
kinto-admin,Kinto,https://github.com/Kinto/kinto-admin/pull/1012,Bump react-redux from 6.0.1 to 7.1.1,1012,dependabot/npm_and_yarn/react-redux-7.1.1,217e6fcfa5ea404b6c6057e239d730e14e7070cc,closed,true,4,4
user_retention,nextcloud,https://github.com/nextcloud/user_retention/pull/13,Bump eslint-loader from 2.2.1 to 3.0.0,13,dependabot/npm_and_yarn/eslint-loader-3.0.0,62f8386357148a28f798d3223efb5284e08af9ec,closed,true,2,4
paas-admin,alphagov,https://github.com/alphagov/paas-admin/pull/194,Bump ts-loader from 4.4.2 to 5.4.4,194,dependabot/npm_and_yarn/ts-loader-5.4.4,28bfc4420d6bfdf3551071f3fbbd106870123996,closed,true,2,3
pipeline-pipe,piglovesyou,https://github.com/piglovesyou/pipeline-pipe/pull/7,Bump @types/node from 12.12.22 to 13.1.2,7,dependabot/npm_and_yarn/types/node-13.1.2,66ecccb8b59dada42c8269f11a6dc2df15dfcdb1,closed,true,3,10
lti-dashboard,ilios,https://github.com/ilios/lti-dashboard/pull/273,Bump eslint from 5.16.0 to 6.0.0,273,dependabot/npm_and_yarn/eslint-6.0.0,286a7c28f4092664e4c27c2546b5ae0adaee43b3,closed,true,2,3
submarine,Tosuke,https://github.com/Tosuke/submarine/pull/68,chore(deps): bump react-native-paper from 2.16.0 to 3.4.0,68,dependabot/npm_and_yarn/react-native-paper-3.4.0,3bc720e5b100956fe538c015c68654b3d9a434a2,closed,true,5,18
BeHereAPI,BeHereApp,https://github.com/BeHereApp/BeHereAPI/pull/7,Bump mongoose from 4.13.5 to 5.6.4,7,dependabot/npm_and_yarn/mongoose-5.6.4,0ebf41515545c10067665bc34114c7d15887f842,closed,true,2,3
clitt,ice8lue,https://github.com/ice8lue/clitt/pull/1,⬆️ Bump gluegun from 2.1.2 to 3.3.3,1,dependabot/npm_and_yarn/gluegun-3.3.3,9eaace0cebc1b38ac8f4eb6eee064c6637805c75,closed,true,3,4
notes,n6g7,https://github.com/n6g7/notes/pull/21,Bump react-router-dom from 4.2.2 to 5.0.1,21,dependabot/npm_and_yarn/react-router-dom-5.0.1,4039f6311f2310f6cca0d97db69f63d52be4f4d2,closed,true,2,4
broccoli-viz,ember-cli,https://github.com/ember-cli/broccoli-viz/pull/60,Bump matcher-collection from 1.1.2 to 2.0.0,60,dependabot/npm_and_yarn/matcher-collection-2.0.0,597e7896742eae84fe1c38df7eb2012f9d4b2b8a,closed,true,2,3
streetmix,streetmix,https://github.com/streetmix/streetmix/pull/1562,chore(deps-dev): bump eslint-config-standard from 13.0.1 to 14.0.1,1562,dependabot/npm_and_yarn/eslint-config-standard-14.0.1,4999a831bfc4db5637e89e98ef7b4bff900df87e,closed,true,2,21
react-relay-mutation,relay-tools,https://github.com/relay-tools/react-relay-mutation/pull/134,chore(deps-dev): Bump @4c/babel-preset from 5.2.0 to 6.0.1,134,dependabot/npm_and_yarn/@4c/babel-preset-6.0.1,48dbd5cd2967da0a1f75509f684706cd5786dd32,closed,true,2,3
javascript,salesmessage,https://github.com/salesmessage/javascript/pull/24,chore(deps-dev): bump eslint from 5.16.0 to 6.3.0,24,dependabot/npm_and_yarn/eslint-6.3.0,172894131efe466a6b393211c926c9b46cdf3bef,closed,true,2,3
courses,KrokaKrola,https://github.com/KrokaKrola/courses/pull/1,Bump webpack-dev-server from 2.11.5 to 3.1.11 in /Vue-lav/lesson 4 cli/vue-cli,1,dependabot/npm_and_yarn/Vue-lav/lesson-4-cli/vue-cli/webpack-dev-server-3.1.11,81f5a3965d1b9e09930a259e5573c63cb9755c6f,closed,true,2,20
app-platform,dhis2,https://github.com/dhis2/app-platform/pull/219,chore(deps-dev): bump @dhis2/cli-style from 4.2.0 to 5.0.4,219,dependabot/npm_and_yarn/dhis2/cli-style-5.0.2,0484971e46b0673128a8a9ff9991eaf929a07398,closed,true,5,11
Human-Connection,Human-Connection,https://github.com/Human-Connection/Human-Connection/pull/1298,Bump eslint-config-standard from 13.0.1 to 14.0.0 in /backend,1298,dependabot/npm_and_yarn/backend/eslint-config-standard-14.0.0,569cdb1f758f376b0d2790dc24ea57a7bde1805f,closed,true,2,4
rpc_ts,hchauvin,https://github.com/hchauvin/rpc_ts/pull/73,Bump liquidjs from 8.5.0 to 9.1.1,73,dependabot/npm_and_yarn/liquidjs-9.1.1,d5df083e53cf97bfe4d4deb73bf899f9f6ef9d09,closed,true,2,4
web,pi-hole,https://github.com/pi-hole/web/pull/219,Bump react-router-dom from 4.3.1 to 5.0.0,219,dependabot/npm_and_yarn/development/react-router-dom-5.0.0,8716b30dfad63e4cf8014bfa6aa0acef60578c68,closed,true,2,3
react-overlays,react-bootstrap,https://github.com/react-bootstrap/react-overlays/pull/315,Bump eslint-plugin-mocha from 5.3.0 to 6.0.0,315,dependabot/npm_and_yarn/eslint-plugin-mocha-6.0.0,7dc63e8e51b2ede669801ead8453645e9311394b,closed,true,4,4
korni,kornicameister,https://github.com/kornicameister/korni/pull/762,Bump create-elm-app from 3.2.2 to 4.0.0,762,dependabot/npm_and_yarn/create-elm-app-4.0.0,d48c5f248f7f8789161b9a85751e0772ab0a8cec,closed,true,2,3
core,VATSIM-UK,https://github.com/VATSIM-UK/core/pull/1499,build(deps): bump less from 2.7.3 to 3.10.3,1499,dependabot/npm_and_yarn/less-3.10.3,25094d9f8b93b7ceb4997a3196a868c15a0fc6d1,closed,true,3,3
Localization.AspNetCore.TagHelpers,WormieCorp,https://github.com/WormieCorp/Localization.AspNetCore.TagHelpers/pull/61,Bump gulp from 3.9.1 to 4.0.0 in /src/Localization.Demo,61,dependabot/npm_and_yarn/src/Localization.Demo/gulp-4.0.0,b5b1aea75676d47ba14dd0c5e79034b81988eb22,closed,true,2,3
linthtml,linthtml,https://github.com/linthtml/linthtml/pull/128,build(deps): Bump cosmiconfig from 5.2.1 to 6.0.0,128,dependabot/npm_and_yarn/cosmiconfig-6.0.0,e6168503de7653315df98e0f696ef4394ca9faa9,closed,true,2,3
IsometricSass,MorganCaron,https://github.com/MorganCaron/IsometricSass/pull/22,Bump clean-webpack-plugin from 2.0.2 to 3.0.0,22,dependabot/npm_and_yarn/clean-webpack-plugin-3.0.0,ed4a17211582d026d02aace6ea00e4593417b10d,closed,true,3,3
apisyouwonthate.com,apisyouwonthate,https://github.com/apisyouwonthate/apisyouwonthate.com/pull/486,Bump @shopify/buy-button-js from 1.0.4 to 2.0.0,486,dependabot/npm_and_yarn/shopify/buy-button-js-2.0.0,353918997b7c1e4225677c44ccebae2cdf170177,closed,true,2,3
zsh-goggles,davidkna,https://github.com/davidkna/zsh-goggles/pull/193,Bump eslint-config-airbnb-base from 13.2.0 to 14.0.0,193,dependabot/npm_and_yarn/eslint-config-airbnb-base-14.0.0,1dbd8da60bcccfe06738d10ebb90323a90478713,closed,true,2,3
opencollective-frontend,opencollective,https://github.com/opencollective/opencollective-frontend/pull/3101,chore(deps): bump title-case from 2.1.1 to 3.0.1,3101,dependabot/npm_and_yarn/title-case-3.0.1,b046d04a8e451828fe169135be7459ca17f7d370,closed,true,2,4
homepage,ybiquitous,https://github.com/ybiquitous/homepage/pull/87,Bump mdx-deck from 1.10.2 to 2.4.0,87,dependabot/npm_and_yarn/mdx-deck-2.4.0,5c7b2423c628281480a921c36139bcf0ea956bcc,closed,true,3,6
fundamental-react,SAP,https://github.com/SAP/fundamental-react/pull/635,chore: Bump react-syntax-highlighter from 10.3.0 to 11.0.1,635,dependabot/npm_and_yarn/react-syntax-highlighter-11.0.1,a8690d5380e6a03c954abecc5efdcfd4d54071ed,closed,true,3,4
Nootstrap,MorganCaron,https://github.com/MorganCaron/Nootstrap/pull/22,Bump clean-webpack-plugin from 2.0.2 to 3.0.0,22,dependabot/npm_and_yarn/clean-webpack-plugin-3.0.0,6932b62346219e4d37202a7f11272752938699f0,closed,true,2,3
LetsDisc,codingdefined,https://github.com/codingdefined/LetsDisc/pull/8,[Security] Bump bootstrap from 3.3.7 to 4.1.2 in /src/LetsDisc.Web.Host,8,dependabot/npm_and_yarn/src/LetsDisc.Web.Host/development/bootstrap-4.1.2,addf00c8806b9f2565943ef433bf6dcf725f8bc1,closed,true,2,3
blog,mbifulco,https://github.com/mbifulco/blog/pull/51,Bump eslint-config-prettier from 4.3.0 to 5.0.0,51,dependabot/npm_and_yarn/develop/eslint-config-prettier-5.0.0,a6e954394c33b7789ac8d8653c01319f912e1111,closed,true,2,6
rundfunk-mitbestimmen,roschaefer,https://github.com/roschaefer/rundfunk-mitbestimmen/pull/940,Bump ember-cli-favicon from 1.0.0 to 2.0.0 in /frontend,940,dependabot/npm_and_yarn/frontend/ember-cli-favicon-2.0.0,a382c5c21d4e9c293ce6bea9cf5cd14d5f874ce2,closed,true,2,3
uit.hotel,phamhongphuc,https://github.com/phamhongphuc/uit.hotel/pull/530,Bump eslint-plugin-node from 9.1.0 to 10.0.0 in /uit.hotel.client,530,dependabot/npm_and_yarn/uit.hotel.client/dependency/eslint-plugin-node-10.0.0,e7a536a96f2a44340ec67e53e1e99ca9b9a41e50,closed,true,2,3
