name,owner,prUrl,prTitle,number,branchName,baseCommit,event,merged,commits,changedFiles
common,ilios,https://github.com/ilios/common/pull/2432,Bump ember-intl from 5.7.0 to 6.0.0,2432,dependabot/npm_and_yarn/ember-intl-6.0.0,7a1d3298cb65e185fcf5b8c2f1d65f21d483f5ee,closed,true,2,174
common,ilios,https://github.com/ilios/common/pull/2395,Bump eslint-plugin-qunit from 6.2.0 to 7.0.0,2395,dependabot/npm_and_yarn/eslint-plugin-qunit-7.0.0,abeb3db3bfa2a3d98b0559aebe508c372da21e5f,closed,true,3,198
yari,mdn,https://github.com/mdn/yari/pull/4461,build(deps): bump imagemin from 7.0.1 to 8.0.1,4461,dependabot/npm_and_yarn/imagemin-8.0.1,11248cb04cf6c79e166e6e59d2921a4770b3e598,closed,true,19,22
Le-bot-en-JS,TanguyChiffoleau,https://github.com/TanguyChiffoleau/Le-bot-en-JS/pull/169,Bump discord.js from 12.5.3 to 13.0.0,169,dependabot/npm_and_yarn/discord.js-13.0.0,c243d98f4da03f0bc8ea5713bcecef83ab70d9d6,closed,true,16,19
atomic-react,cisco-sbg-ui,https://github.com/cisco-sbg-ui/atomic-react/pull/1069,build(deps-dev): bump cypress from 8.5.0 to 9.1.1,1069,dependabot/npm_and_yarn/cypress-9.1.1,36e922c8b6a364b2956ccff9f8cf529540ae9db5,closed,true,2,123
web-stories-wp,google,https://github.com/google/web-stories-wp/pull/9916,Bump eslint-plugin-testing-library from 4.12.4 to 5.0.1,9916,dependabot/npm_and_yarn/eslint-plugin-testing-library-5.0.1,bbd6989d74596d12c505cb64387fa97787d660b1,closed,true,7,45
opencollective-api,opencollective,https://github.com/opencollective/opencollective-api/pull/5934,chore(deps-dev): bump eslint-config-opencollective from 2.2.0 to 3.0.0,5934,dependabot/npm_and_yarn/eslint-config-opencollective-3.0.0,4750eabeb2645c2804b39e25fcaabf1bda6a75e6,closed,true,2,29
lkim-asadiyah,kurnhyalcantara,https://github.com/kurnhyalcantara/lkim-asadiyah/pull/234,Bump eslint-plugin-testing-library from 3.10.1 to 4.9.0,234,dependabot/npm_and_yarn/eslint-plugin-testing-library-4.9.0,cdf771a3f2323db1e13bcd6ef9e74d9407df260c,closed,true,6,270
utrecht,nl-design-system,https://github.com/nl-design-system/utrecht/pull/75,build(deps-dev): bump @etchteam/storybook-addon-status from 2.1.0 to 3.0.2,75,dependabot/npm_and_yarn/main/etchteam/storybook-addon-status-3.0.2,418ab8e722d9cdd7bba31e7964760856b546d9e4,closed,true,3,31
remix-project,Hbutlercapone,https://github.com/Hbutlercapone/remix-project/pull/1,Bump merge from 1.2.1 to 2.1.1,1,dependabot/npm_and_yarn/merge-2.1.1,d8f92be1efb1d3af6a86c0a0149d125615896b7f,closed,true,380,158
