name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files,node_version,pkg_manager,package,version_from,version_to
opencollective-api,opencollective,https://github.com/opencollective/opencollective-api/pull/5934,chore(deps-dev): bump eslint-config-opencollective from 2.2.0 to 3.0.0,5934,dependabot/npm_and_yarn/eslint-config-opencollective-3.0.0,4750eabeb2645c2804b39e25fcaabf1bda6a75e6,closed,true,2,29,engine-strict=true,npm,eslint-config-opencollective,2.2.0,3.0.0
aws-northstar,aws,https://github.com/aws/aws-northstar/pull/73,build(deps-dev): Bump prettier from 1.19.1 to 2.2.1,73,dependabot/npm_and_yarn/prettier-2.2.1,2d7d71166ef9b80983c845bfaf4060d724cf5730,closed,true,2,58,12.14,npm,prettier,1.19.1,2.2.1
jukebox,Hazmi35,https://github.com/Hazmi35/jukebox/pull/877,chore(deps): bump youtube-dl-exec from 1.3.4 to 2.0.0,877,dependabot/npm_and_yarn/main/youtube-dl-exec-2.0.0,dead98887a858057c65c6327dd6f79ded35f7944,closed,true,2,3,.node-version,npm,youtube-dl-exec,1.3.4,2.0.0
website,yetanother-blog,https://github.com/yetanother-blog/website/pull/830,chore(deps): bump gatsby-plugin-sitemap from 3.3.0 to 4.0.0,830,dependabot/npm_and_yarn/gatsby-plugin-sitemap-4.0.0,631e934aa7f65388450ca8c35fb6ff23f571cf4d,closed,true,2,3,v15.6.0,yarn,gatsby-plugin-sitemap,3.3.0,4.0.0
c0d3-app,garageScript,https://github.com/garageScript/c0d3-app/pull/1008,Bump @graphql-codegen/cli from 1.21.8 to 2.0.1,1008,dependabot/npm_and_yarn/graphql-codegen/cli-2.0.1,7bdafb5663690acf3d5e32fe62bfba0dac8d7eb3,closed,true,2,3,14,yarn,@graphql-codegen/cli,1.21.8,2.0.1
anasdidi-dev,anas-didi95,https://github.com/anas-didi95/anasdidi-dev/pull/122,Bump @graphql-codegen/typescript from 1.22.0 to 2.2.2,122,dependabot/npm_and_yarn/graphql-codegen/typescript-2.2.2,a706ee1f9a873c203a9c52ef4060008d6bd60aac,closed,true,2,3,14,yarn,@graphql-codegen/typescript,1.22.0,2.2.2
heuristicalert,remotehour,https://github.com/remotehour/heuristicalert/pull/21,Bump @types/js-yaml from 3.12.5 to 4.0.1,21,dependabot/npm_and_yarn/types/js-yaml-4.0.1,ded45f9cfc24a7f9784857ecb27518d4cd7e2502,closed,true,2,3,14.14.0,yarn,@types/js-yaml,3.12.5,4.0.1
spectral,stoplightio,https://github.com/stoplightio/spectral/pull/1453,chore(deps-dev): bump node-html-parser from 1.2.20 to 2.0.1,1453,dependabot/npm_and_yarn/node-html-parser-2.0.1,99580f17b38c4c283951ef806ed03487cb6e8236,closed,true,2,3,12.8.0,yarn,node-html-parser,1.2.20,2.0.1
pixiebrix-extension,pixiebrix,https://github.com/pixiebrix/pixiebrix-extension/pull/1375,Bump react-shadow-root from 5.0.4 to 6.1.0,1375,dependabot/npm_and_yarn/react-shadow-root-6.1.0,c89b34b539f1b894a2663fa6b2f740979bb47927,closed,true,3,3,stable,npm,react-shadow-root,5.0.4,6.1.0
anasdidi-dev,anas-didi95,https://github.com/anas-didi95/anasdidi-dev/pull/111,Bump @graphql-codegen/cli from 1.21.4 to 2.2.0,111,dependabot/npm_and_yarn/graphql-codegen/cli-2.2.0,5854539e193d349b8e18aa2d806afb73cbc2a7f7,closed,true,2,3,14,yarn,@graphql-codegen/cli,1.21.4,2.2.0
www.grouparoo.com,grouparoo,https://github.com/grouparoo/www.grouparoo.com/pull/804,Bump csv-stringify from 5.6.5 to 6.0.4,804,dependabot/npm_and_yarn/csv-stringify-6.0.4,17e406b986ce5f7eb14293b843d5873eb84f5ecf,closed,true,2,3,v16,npm,csv-stringify,5.6.5,6.0.4
spectral,stoplightio,https://github.com/stoplightio/spectral/pull/1451,chore(deps-dev): bump jest-when from 2.7.2 to 3.0.1,1451,dependabot/npm_and_yarn/jest-when-3.0.1,e6ba6a88932f7161313018fbfdaffa6185ea15cb,closed,true,2,3,12.8.0,yarn,jest-when,2.7.2,3.0.1
logger,boilerz,https://github.com/boilerz/logger/pull/182,⬆️ Bump read-pkg from 5.2.0 to 6.0.0,182,dependabot/npm_and_yarn/read-pkg-6.0.0,0b5f19385cbb9196044497a81a3f4720be71b89e,closed,true,2,3,14,yarn,read-pkg,5.2.0,6.0.0
cdk,guardian,https://github.com/guardian/cdk/pull/356,chore(deps): bump read-pkg-up from 7.0.1 to 8.0.0,356,dependabot/npm_and_yarn/read-pkg-up-8.0.0,75d0c3cb85bc1c0fcdf9a258051e5802aa1fa8c6,closed,true,2,3,14.15.1,npm,read-pkg-up,7.0.1,8.0.0
web,FindETH,https://github.com/FindETH/web/pull/245,Bump fontsource-inter from 3.0.5 to 4.0.0,245,dependabot/npm_and_yarn/fontsource-inter-4.0.0,f070c7d488aa3364b3d70a786052fda8a2272261,closed,true,2,3,12,yarn,fontsource-inter,3.0.5,4.0.0
cloud-sdk-js,SAP,https://github.com/SAP/cloud-sdk-js/pull/1380,chore(deps-dev): bump madge from 4.0.2 to 5.0.0,1380,dependabot/npm_and_yarn/madge-5.0.0,aeca3e8b6ae7411ad1e43639297ce30aa5961567,closed,true,2,3,node,yarn,madge,4.0.2,5.0.0
soundcloud-likes-log-action,WIStudent,https://github.com/WIStudent/soundcloud-likes-log-action/pull/6,Bump node-fetch from 2.6.1 to 3.0.0,6,dependabot/npm_and_yarn/node-fetch-3.0.0,254d91b1ed50abd8dbcf623d2b0aecf6f5573660,closed,true,2,3,12,npm,node-fetch,2.6.1,3.0.0
vscode-home-assistant,keesschollaart81,https://github.com/keesschollaart81/vscode-home-assistant/pull/1038,Bump @typescript-eslint/parser from 3.10.1 to 4.16.1,1038,dependabot/npm_and_yarn/dev/typescript-eslint/parser-4.16.1,69ecb0bd77ae1664adb998d36343d0cb7791fc5f,closed,true,3,3,12.1,npm,@typescript-eslint/parser,3.10.1,4.16.1
ocean.js,oceanprotocol,https://github.com/oceanprotocol/ocean.js/pull/953,Bump node-abort-controller from 2.0.0 to 3.0.0,953,dependabot/npm_and_yarn/node-abort-controller-3.0.0,8c415ab2d9180b6b20c54ba67783df80bdbf46d4,closed,true,2,3,16,npm,node-abort-controller,2.0.0,3.0.0
tuja-app,QingqiShi,https://github.com/QingqiShi/tuja-app/pull/1272,build(deps-dev): bump @testing-library/react from 11.2.7 to 12.0.0,1272,dependabot/npm_and_yarn/testing-library/react-12.0.0,acfe844e91b1d3e05410f990fc066b8adac90030,closed,true,2,3,v14.16.1,yarn,@testing-library/react,11.2.7,12.0.0
Botletter,GitbarPodcast,https://github.com/GitbarPodcast/Botletter/pull/42,chore(deps): bump undici from 3.3.6 to 4.0.0,42,dependabot/npm_and_yarn/undici-4.0.0,58a53120ba293841eafe059652f21ece74e95c62,closed,true,2,4,v14.17.0,yarn,undici,3.3.6,4.0.0
jira-link-issue-action,john-d-pelingo,https://github.com/john-d-pelingo/jira-link-issue-action/pull/175,chore(deps): bump @actions/github from 4.0.0 to 5.0.0,175,dependabot/npm_and_yarn/actions/github-5.0.0,916936d803f1ef5ed677c36ffed5c887c40233f7,closed,true,3,4,14,yarn,@actions/github,4.0.0,5.0.0
nextjs-boilerplate,rubenamorim,https://github.com/rubenamorim/nextjs-boilerplate/pull/62,chore(deps-dev): bump eslint-plugin-testing-library from 3.10.2 to 4.0.0,62,dependabot/npm_and_yarn/eslint-plugin-testing-library-4.0.0,0db8df381b84063274fbbf82ecf3100681dd8152,closed,true,2,4,lts/*,yarn,eslint-plugin-testing-library,3.10.2,4.0.0
google-api-typings-generator,Maxim-Mazurok,https://github.com/Maxim-Mazurok/google-api-typings-generator/pull/427,Bump commander from 6.2.1 to 7.0.0,427,dependabot/npm_and_yarn/commander-7.0.0,49d4ef6608699c3256f5dfad19378b4addec2616,closed,true,3,4,14.15.4,npm,commander,6.2.1,7.0.0
actions-label-commenter,peaceiris,https://github.com/peaceiris/actions-label-commenter/pull/362,deps: bump js-yaml from 3.14.1 to 4.0.0,362,dependabot/npm_and_yarn/js-yaml-4.0.0,990e3c3b832f6e7d5a9f330635e1d8eb3c211bdc,closed,true,2,4,12.20.0,npm,js-yaml,3.14.1,4.0.0
ui-extensions-sdk,contentful,https://github.com/contentful/ui-extensions-sdk/pull/933,chore(deps-dev): bump @testing-library/dom from 7.31.2 to 8.2.0,933,dependabot/npm_and_yarn/testing-library/dom-8.2.0,b53fd57795111be841eb3063e86dcdc8370a14ce,closed,true,4,4,v12.18.0,npm,@testing-library/dom,7.31.2,8.2.0
litentry-app,litentry,https://github.com/litentry/litentry-app/pull/677,Bump react-native-gesture-handler from 1.10.3 to 2.1.0,677,dependabot/npm_and_yarn/develop/react-native-gesture-handler-2.1.0,6c812069752120aa7c10e8ffdcc961e907ec382b,closed,true,3,4,14,yarn,react-native-gesture-handler,1.10.3,2.1.0
litentry-app,litentry,https://github.com/litentry/litentry-app/pull/400,Bump @polkadot/api from 5.7.1 to 6.0.5,400,dependabot/npm_and_yarn/develop/polkadot/api-6.0.5,ce04624e5d14b95389c04ab9cb7d14f27ec44ca6,closed,true,4,4,14,yarn,@polkadot/api,5.7.1,6.0.5
www.actionherojs.com,actionhero,https://github.com/actionhero/www.actionherojs.com/pull/291,Bump next from 10.2.3 to 11.0.1,291,dependabot/npm_and_yarn/next-11.0.1,d14e42a989c02d20783a7c83cb317dac32615567,closed,true,2,5,14,npm,next,10.2.3,11.0.1
blockpaint,mysterycommand,https://github.com/mysterycommand/blockpaint/pull/452,build(deps-dev): bump react-scripts from 3.4.4 to 4.0.1,452,dependabot/npm_and_yarn/react-scripts-4.0.1,2ee505e0ec6fff5cc192f5fd543f5f957884006b,closed,true,3,5,lts/*,yarn,react-scripts,3.4.4,4.0.1
circuit-ui,sumup-oss,https://github.com/sumup-oss/circuit-ui/pull/779,chore(deps-dev): bump @testing-library/react-hooks from 4.0.0 to 5.0.0,779,dependabot/npm_and_yarn/testing-library/react-hooks-5.0.0,4c3756ec47f33d67980c36c1351ecab800687f33,closed,true,2,5,lts/fermium,yarn,@testing-library/react-hooks,4.0.0,5.0.0
aws-northstar,aws,https://github.com/aws/aws-northstar/pull/124,build(deps): Bump use-debounce from 5.2.1 to 6.0.0,124,dependabot/npm_and_yarn/use-debounce-6.0.0,5d5bc860c42b25044ede9231748c1bc617783977,closed,true,2,5,12.14,npm,use-debounce,5.2.1,6.0.0
www.grouparoo.com,grouparoo,https://github.com/grouparoo/www.grouparoo.com/pull/394,Bump react-hook-form from 6.15.5 to 7.2.1,394,dependabot/npm_and_yarn/react-hook-form-7.2.1,04e534cd31f5c22e65bf93df168cd7b8819f0d29,closed,true,3,5,v15,npm,react-hook-form,6.15.5,7.2.1
